[1.0-1.0]&2.0&3.0,8.6135734,64,42,,0.0,0.0625,0.03125,
[1.0-2.0]&2.0&3.0,11.0808384,64,42,,0.0,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[1.0-3.0]&2.0&3.0,4.9144618,64,42,,0.0,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[1.0-4.0]&2.0&3.0,13.3913698,64,42,,0.0,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[2.0-2.0]&2.0&3.0,7.043344,64,42,,0.25,0.0625,0.03125,
[2.0-3.0]&2.0&3.0,3.6361529000000004,64,42,,0.25,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[2.0-4.0]&2.0&3.0,6.7350319999999995,64,42,,0.25,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[3.0-3.0]&2.0&3.0,11.277925000000002,64,42,,0.5,0.0625,0.03125,
[3.0-4.0]&2.0&3.0,10.321850099999999,64,42,,0.5,0.0625,0.03125,0.125,0.015625,0.0625,0.03125,
[4.0-4.0]&2.0&3.0,6.5532048,64,42,,0.75,0.0625,0.03125,
2.0&[1.0-1.0]&3.0,3.820955299999999,64,42,,0.25,0.0,0.03125,
2.0&[1.0-2.0]&3.0,5.146302800000001,64,42,,0.25,0.0,0.03125,0.015625,0.03125,
2.0&[1.0-3.0]&3.0,2.6992179999999997,64,42,,0.25,0.0,0.03125,0.015625,0.03125,0.015625,0.03125,
2.0&[1.0-4.0]&3.0,7.6388249,64,42,,0.25,0.0,0.03125,0.015625,0.03125,0.015625,0.03125,0.015625,0.03125,
2.0&[2.0-2.0]&3.0,2.3100295,64,42,,0.25,0.0625,0.03125,
2.0&[2.0-3.0]&3.0,2.3281533,64,42,,0.25,0.0625,0.03125,0.015625,0.03125,
2.0&[2.0-4.0]&3.0,8.6170709,64,42,,0.25,0.0625,0.03125,0.015625,0.03125,0.015625,0.03125,
2.0&[3.0-3.0]&3.0,1.7755548,64,42,,0.25,0.125,0.03125,
2.0&[3.0-4.0]&3.0,2.4824313,64,42,,0.25,0.125,0.03125,0.015625,0.03125,
2.0&[4.0-4.0]&3.0,3.8919465999999994,64,42,,0.25,0.1875,0.03125,
2.0&3.0&[1.0-1.0],1.8659259000000001,64,42,,0.25,0.125,0.0,
2.0&3.0&[1.0-2.0],3.1994487000000005,64,42,,0.25,0.125,0.0,
2.0&3.0&[1.0-3.0],4.630033500000001,64,42,,0.25,0.125,0.0,
2.0&3.0&[1.0-4.0],2.6243949000000004,64,42,,0.25,0.125,0.0,
2.0&3.0&[2.0-2.0],2.3457041000000003,64,42,,0.25,0.125,0.015625,
2.0&3.0&[2.0-3.0],7.000793099999999,64,42,,0.25,0.125,0.015625,
2.0&3.0&[2.0-4.0],3.6112264999999995,64,42,,0.25,0.125,0.015625,
2.0&3.0&[3.0-3.0],6.517136199999998,64,42,,0.25,0.125,0.03125,
2.0&3.0&[3.0-4.0],3.4725766,64,42,,0.25,0.125,0.03125,
2.0&3.0&[4.0-4.0],6.3708003,64,42,,0.25,0.125,0.046875,
